Model,Method,Beta,SE,PValue,N_Treated_or_Matched,N_Control_or_Dropped,N_Total,Variables_Used,Joint_F_Pvalue,Estimand,Pipeline,y,ci_lo,ci_hi
CEM (PSM variables),cem,-.21880163,.35101476,.53312153,3644,178,3822,business_practices_sum_2018; respondent_gender_2018; number_employees_RAIS_2016,0,ATET,Matching,,-.9067905682325363,.469187303185463
CEM-matched DiD,cem_did,-.15223159,.2845197,.59265417,4559,680,5239,respondent_gender_2018; business_practices_sum_2018; number_employees_RAIS_2016,4.2629082e-26,ATET,Matching,,-.7098902052640915,.4054270273447037
DiD (Full Interactive FE),,-.27336726,.36742708,.45690921,,,4962,,,ATT,Diff-in-Diff,3,-.9935243344306945,.4467898225784301
DiD (Full Interactive),,-.27336726,.36794755,.45754611,,,4962,,,ATT,Diff-in-Diff,2,-.9945444512367249,.4478099393844605
DiD (Simple),,-.39616907,.3541458,.26333898,,,4962,,,ATT,Diff-in-Diff,1,-1.090294824838638,.2979566919803619
Diff-in-means (unadjusted),diffmeans,.54280263,.31723669,.087200023,1926,555,2481,None (unadjusted t-test),0,ATET,Matching,,-.078981283903122,1.164586547613144
Doubly Robust (best: aipw_probit),aipw_probit,.12150252,.34080151,.72145128,1922,555,2477,business_practices_sum_2018; respondent_gender_2018; sse_2018_only; number_employees_RAIS_2016; total_services_2015_2018; respondent_age_2018; competition_density_full_zipco; years_functioning_2018,0,ATET,Matching,,-.5464684355258942,.7894734728336334
Entropy Balancing,ebalance,.35615671,.4503406,.42910087,2481,0,2481,reg_office4; reg_office6; sector4; reg_office2; reg_office5; reg_office3; sector6; sector10; sector2; sector7; sector8; sector5; business_practices_sum_2018; number_employees_RAIS_2016; respondent_gen,1,ATET,Matching,,-.5265108668804168,1.238824280500412
LASSO(adaptive)+CEM,lasso_cem,.17877389,.6603995,.78672379,879,2943,3822,reg_office5; reg_office4; sector5; reg_office2; reg_office3; sse_2018_only; reg_office6; respondent_gender_2018; business_practices_sum_2018; total_services_2015_2018; number_employees_RAIS_2016; comp,3.8221565e-10,ATET,Matching,,-1.1156091183424,1.473156908154488
PSM (best: radius),psmatch2,.026071144,.3221845,.93551219,3813,9,3822,business_practices_sum_2018; respondent_gender_2018; number_employees_RAIS_2016,0,ATET,Matching,,-.6054104817658663,.6575527703016997
RCT (ITT benchmark),,-.14262851,.24671806,.56323844,,,2961,,,,RCT,,-.626195911169052,.3409388995170593
dml_int_full,ddml,-.22669999,.2472,.3592,2634,1417,4051,respondent_gender_2018; Q13_respondent_risk_averse_2018; business_practices_sum_2018; number_employees_RAIS_2016; Q1_respondent_educ_level_2018; Q2_respondent_busin_experi_2018; respondent_type_2018; years_functioning_2018; competition_density_full_zipco; o.Q2_respondent_busin_experi__mi; o.respondent_gender_2018_miss; o.business_practices_sum_2018_mi; o.years_functioning_2018_miss; o.number_employees_RAIS_2016_mis; o.competition_density_full_zi_mi; o.Q13_respondent_risk_averse__mi; o.Q1_respondent_educ_level_20_mi; o.respondent_type_2018_miss; business_practices_sum_2018_miss; number_employees_RAIS_2016_miss; competition_density_full_zi_miss; Q1_respondent_educ_level_20_miss; Q2_respondent_busin_experi__miss; Q13_respondent_risk_averse__miss,.57709998,ATET,DML,,-.711211987733841,.2578120017051697
dml_int_highcomp,ddml,-.77160001,.39879999,.052999999,1020,550,1570,respondent_gender_2018 competition_density_full_zipco Q1_respondent_educ_level_2018 years_functioning_2018 Q2_respondent_busin_experi_2018 number_employees_RAIS_2016 Q13_respondent_risk_averse_2018 business_practices_sum_2018 respondent_type_2018 business_practices_sum_2018_miss years_functioning_2018_miss respondent_gender_2018_miss respondent_type_2018_miss number_employees_RAIS_2016_miss competition_density_full_zi_miss Q1_respondent_educ_level_20_miss Q2_respondent_busin_experi__miss Q13_respondent_risk_averse__miss,.52329999,ATET,DML,,-1.553247979879379,.0100479638576507
dml_int_lowcomp,ddml,.066699997,.31990001,.83490002,1614,867,2481,years_functioning_2018 respondent_type_2018 Q13_respondent_risk_averse_2018 respondent_gender_2018 business_practices_sum_2018 competition_density_full_zipco number_employees_RAIS_2016 Q2_respondent_busin_experi_2018 Q1_respondent_educ_level_2018 business_practices_sum_2018_miss years_functioning_2018_miss respondent_gender_2018_miss respondent_type_2018_miss number_employees_RAIS_2016_miss competition_density_full_zi_miss Q1_respondent_educ_level_20_miss Q2_respondent_busin_experi__miss Q13_respondent_risk_averse__miss,.69919997,ATET,DML,,-.5603040152788162,.6937040084600449
